team,player_name,conc_player_name,position,games_played,games_started,minutes_played,goals,accurate_pass_percentage,assists,total_scoring_attempts,on_target_scoring_attempts,total_attacking_assists,tackles,fouls_committed,fouls_suffered,total_offside,yellow_cards,red_cards,accurate_passes,total_passes,crosses,assists_avg_over_90_mins,long_balls,successful_short_passes,turnovers,goals_avg_over_90_mins,penalty_kick_goals,penalty_kick_taken,penalty_kick_percentage,accurate_shooting_percentage,successful_dribble,dribble_percentage,goals_and_assists,tackles,tackles_percentage,interceptions,headed_duel,gk_saves,gk_long_ball_percentage,gk_total_clearance
Chicago Red Stars,Ally Cook,ALLYCOOK,FORWARD,9,1,187,0,63,1,1,0,1,1,1,2,2,0,0,34,54,3,0.48,0,33,39,0,0,0,0,0,1,20,1,1,20,1,19,,,
Seattle Reign,Alana Cook,ALANACOOK,DEFENDER,7,6,572,0,76,0,1,0,0,4,7,3,0,1,0,271,357,3,0,32,238,98,0,0,0,0,0,0,0,0,4,57,4,9,,,
Kansas City Current,Michelle Cooper,MICHELLECOOPER,FORWARD,7,2,314,1,67,0,7,5,0,5,7,5,0,1,0,57,85,3,0,3,53,53,0.29,0,0,0,71,3,33,1,5,62,2,9,,,
Orlando Pride,McKinley Crone,MCKINLEYCRONE,GOALKEEPER,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicago Red Stars,Chardonnay Curran,CHARDONNAYCURRAN,MIDFIELDER,2,,78,0,77,0,2,1,0,0,0,0,0,0,0,23,30,3,0,1,21,17,0,0,0,0,50,0,0,0,0,0,1,3,,,
Angel City FC,Madison Curry,MADISONCURRY,DEFENDER,9,8,689,1,75,0,6,3,0,18,9,8,0,2,0,262,348,3,0,8,253,118,0.13,0,0,0,50,8,80,1,18,64,19,15,,,
Portland Thorns,Izzy D'Aquila,IZZYD'AQUILA,FORWARD,3,,69,1,62,0,4,4,0,2,1,0,0,0,0,15,24,3,0,0,15,14,1.3,0,0,0,100,0,0,1,2,100,0,8,,,
San Diego Wave FC,Abby Dahlkemper,ABBYDAHLKEMPER,DEFENDER,6,5,495,0,85,0,1,1,0,4,2,2,0,0,0,369,433,3,0,28,341,68,0,0,0,0,100,0,0,0,4,50,5,15,,,
NJ/NY Gotham FC,Tierna Davidson,TIERNADAVIDSON,DEFENDER,6,4,344,0,78,0,1,0,0,4,0,6,0,0,0,157,200,3,0,18,139,52,0,0,0,0,0,0,0,0,4,50,4,9,,,
Houston Dash,Bárbara Dávila,BÁRBARADÁVILA,MIDFIELDER,10,6,630,1,77,1,4,3,1,18,16,15,1,2,0,156,203,3,0.14,8,142,119,0.14,0,0,0,75,8,32,2,18,75,6,15,,,
Kansas City Current, Debinha,DEBINHA,MIDFIELDER,6,3,235,1,70,1,5,4,1,4,1,2,0,0,0,60,86,3,0.38,3,56,55,0.38,0,0,0,80,7,50,2,4,50,4,2,,,
Utah Royals FC,Kathryn Del Fava,KATHRYNDEL FAVA,DEFENDER,10,10,900,1,89,0,1,1,0,9,13,9,0,1,0,570,639,3,0,48,522,75,0.1,0,0,0,100,1,100,1,9,69,15,24,,,
Racing Louisville FC,Savannah DeMelo,SAVANNAHDEMELO,MIDFIELDER,7,7,613,4,76,0,14,9,0,7,19,35,0,3,0,142,186,3,0,3,137,121,0.59,1,2,50,64,6,33,4,7,50,2,4,,,
Portland Thorns,Ana Dias,ANADIAS,FORWARD,7,1,128,1,63,0,5,1,0,1,5,3,2,1,0,12,19,3,0,0,12,19,0.7,0,0,0,20,1,17,1,1,100,0,13,,,
Kansas City Current,Vanessa DiBernardo,VANESSADIBERNARDO,MIDFIELDER,10,10,671,3,72,5,12,4,5,12,11,5,0,1,0,181,252,3,0.67,8,166,140,0.4,0,0,0,33,3,43,8,12,71,3,4,,,
Seattle Reign,Claudia Dickey,CLAUDIADICKEY,GOALKEEPER,4,4,330,0,80,0,0,0,0,0,0,1,0,0,0,94,117,3,0,15,79,24,0,0,0,0,0,0,0,0,0,0,0,0,10,39,4
Racing Louisville FC,Marisa DiGrande,MARISADIGRANDE,MIDFIELDER,7,4,448,0,85,1,2,1,1,3,1,2,0,0,0,198,232,3,0.2,13,185,50,0,0,0,0,50,7,100,1,3,50,3,3,,,
Bay FC,Maya Doms,MAYADOMS,MIDFIELDER,1,,14,0,64,0,1,0,0,0,0,0,0,0,0,7,11,3,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,2,,,
San Diego Wave FC,Makenzy Doniak,MAKENZYDONIAK,FORWARD,8,5,413,2,78,0,6,5,0,4,1,5,1,0,0,105,135,3,0,4,99,51,0.44,0,0,0,83,2,50,2,4,80,2,11,,,
Utah Royals FC,Imani Dorsey,IMANIDORSEY,DEFENDER,2,2,135,0,76,0,0,0,0,0,1,3,0,0,0,54,71,3,0,3,51,22,0,0,0,0,0,1,100,0,0,0,0,5,,,
North Carolina Courage,Julia Dorsey,JULIADORSEY,DEFENDER,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
